date_local,Region,Month,Year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM2.5 - Local Conditions,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH),Temp_Range,WindCategory,gis_acres,shape__area,shape__length,duration_days,normalized_intensity
2013-01-05,4.0,1.0,2013.0,0.44781825,13.7471345,0.0182325,13.306018555555555,45.6,57.6,33.2,42.4,0.19,89.0,100.0,60.0,148.0,9.2,68.6,2.9,24.4,Low,0.0,0.0,0.0,0.0,0.0
2013-01-06,1.0,1.0,2013.0,0.5333335,12.6891305,0.01533025,8.28175028179473,43.4,54.8,34.7,40.5,0.17,89.0,96.0,66.0,104.0,8.5,117.1,4.9,20.099999999999994,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-06,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.01768275,8.28175028179473,18.8,32.4,6.9,15.8,0.0,88.0,89.0,79.0,193.0,3.1,65.4,2.7,25.5,Low,0.0,0.0,0.0,0.0,0.0
2013-01-06,3.0,1.0,2013.0,0.191523375,3.5852174,0.0305062999999999,3.5516908333333337,42.3,47.3,36.7,37.0,0.04,81.0,89.0,69.0,184.0,7.5,121.0,5.0,10.599999999999994,Low,0.0,0.0,0.0,0.0,0.0
2013-01-06,4.0,1.0,2013.0,0.38139475,10.5679845,0.01438675,13.008207055555555,45.7,50.1,39.5,44.5,0.24,95.0,100.0,84.0,66.0,10.0,135.8,5.7,10.6,Medium,0.0,0.0,0.0,0.0,0.0
2013-01-07,1.0,1.0,2013.0,0.7305255,17.4949275,0.0050156875,8.28175028179473,42.1,51.5,32.7,38.2,0.0,86.0,97.0,71.0,190.0,7.8,72.5,3.0,18.8,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-07,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0124985833333333,8.28175028179473,22.2,32.7,11.4,19.4,0.0,89.0,89.0,84.0,134.0,3.6,54.8,2.3,21.300000000000004,Low,0.0,0.0,0.0,0.0,0.0
2013-01-07,3.0,1.0,2013.0,0.243849875,7.045797,0.02565445,4.157487944444444,40.1,49.7,32.5,35.2,0.0,82.0,92.0,62.0,206.0,6.9,102.8,4.3,17.200000000000003,Low,0.0,0.0,0.0,0.0,0.0
2013-01-07,4.0,1.0,2013.0,0.7783935,19.732411,0.00537025,17.439520653846156,47.1,59.2,40.2,43.3,0.0,87.0,100.0,60.0,208.0,9.5,72.4,3.0,19.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-08,1.0,1.0,2013.0,0.7860055,19.4130435,0.00573025,8.28175028179473,42.3,56.8,32.3,39.0,0.0,88.0,97.0,66.0,248.0,8.1,53.0,2.2,24.5,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-08,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0052925833333333,13.0,21.3,35.6,14.2,18.3,0.0,88.0,89.0,81.0,205.0,3.4,50.8,2.1,21.4,Low,0.0,0.0,0.0,0.0,0.0
2013-01-08,3.0,1.0,2013.0,0.3493214999999999,10.5930436,0.0178712499999999,6.306119166666666,42.2,60.2,28.2,33.8,0.0,72.0,90.0,43.0,294.0,6.6,110.8,4.6,32.0,Low,0.0,0.0,0.0,0.0,0.0
2013-01-08,4.0,1.0,2013.0,0.7337625,17.906423,0.007018375,17.852777777777778,46.3,62.7,36.1,43.3,0.0,89.0,100.0,58.0,216.0,9.5,80.2,3.3,26.6,Low,0.0,0.0,0.0,0.0,0.0
2013-01-09,1.0,1.0,2013.0,0.64293475,17.127174,0.0136695,8.28175028179473,42.7,51.4,35.5,38.4,0.0,85.0,97.0,56.0,96.0,7.9,110.9,4.6,15.9,Low,107.82757533333334,722717.75,2931.5135470701057,1.6666666666666667,0.1626239179905564
2013-01-09,2.0,1.0,2013.0,0.3264506818772517,8.407149789669626,0.0017728333333333,8.28175028179473,27.1,35.1,17.7,24.9,0.29,91.0,91.0,87.0,52.0,4.6,96.5,4.0,17.400000000000002,Low,0.0,0.0,0.0,0.0,0.0
