objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,shape__area,shape__length,duration_days,intensity,rescaled_intensity,geometry,Region,fire_season,normalized_intensity
313,2022.0,CDF,SCU,CAMINO,2022-08-03 00:00:00+00:00,2022-08-03 00:00:00+00:00,19.18303,124655.86328125,2921.78617193272,1,10.849616543691278,15.0,POINT (-121.7 37.3),4,Fire Season,0.14711272558913607
316,2022.0,CDF,SCU,EDEN,2022-08-15 00:00:00+00:00,2022-08-15 00:00:00+00:00,58.31763,377637.9453125,4374.40493035568,1,14.742195547751798,20.0,POINT (-121.7 37.3),4,Fire Season,0.2019606414864121
333,2022.0,CDF,SCU,BARRY,2022-09-06 00:00:00+00:00,2022-09-06 00:00:00+00:00,40.30602,263157.0546875,2493.86424396481,1,13.435485341419032,18.0,POINT (-121.7 37.3),4,Fire Season,0.18354859861604533
334,2022.0,CDF,SCU,FRANKLIN,2022-09-05 00:00:00+00:00,2022-09-05 00:00:00+00:00,50.12971,327300.6328125,4258.30312310426,1,14.205857555276506,19.0,POINT (-121.7 37.3),4,Fire Season,0.1944034355637802
376,2022.0,CDF,SBC,HOLLISTER,2022-03-12 00:00:00+00:00,2022-03-17 00:00:00+00:00,123.7686,739058.91015625,6803.87840924281,6,28.476667291390044,37.0,POINT (-119.7 34.4),3,Off Season,0.3954845623375436
481,2022.0,CDF,LNU,ALPINE,2022-03-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,18.43938,121889.828125,1543.84471952045,1,10.714065951789904,15.0,POINT (-122.7 38.5),1,Off Season,0.1452027662905124
518,2022.0,CDF,SHU,BRANSTETTER,2022-08-31 00:00:00+00:00,2022-08-31 00:00:00+00:00,33.77932,236878.12109375,2275.39158562303,1,12.81449614963619,17.0,POINT (-122.5 40.7),2,Fire Season,0.17479862515924632
519,2022.0,CDF,SHU,PETER,2022-07-14 00:00:00+00:00,2022-07-20 00:00:00+00:00,303.67,2124521.296875,10686.4402314811,7,32.65083731592145,42.0,POINT (-122.5 40.7),2,Fire Season,0.4543002026129515
520,2022.0,CDF,SHU,HOBBY,2022-10-06 00:00:00+00:00,2022-10-06 00:00:00+00:00,12.32455,86329.5078125,1422.4337992941,1,9.350326748147634,13.0,POINT (-122.5 40.7),2,Fire Season,0.12598716319827868
521,2022.0,CDF,SHU,FLANAGAN,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,88.68606,624491.6015625,3514.1562313306,1,16.234895190827732,21.0,POINT (-122.5 40.7),2,Off Season,0.22299334612719626
557,2022.0,CDF,LNU,OLD,2022-05-31 00:00:00+00:00,2022-06-03 00:00:00+00:00,375.9125,2479537.953125,9589.11507875574,4,29.96800907440898,39.0,POINT (-122.7 38.5),1,Fire Season,0.41649813421464366
558,2022.0,CDF,LNU,ROBLAR,2022-06-27 00:00:00+00:00,2022-06-27 00:00:00+00:00,63.26585,416540.93359375,2972.31854291146,1,15.03149229097984,20.0,POINT (-122.7 38.5),1,Fire Season,0.20603694242349663
560,2022.0,CDF,LNU,ESTATES,2022-07-17 00:00:00+00:00,2022-07-17 00:00:00+00:00,0.7762036,5163.34375,291.061197519163,1,2.074275023151761,4.0,POINT (-122.7 38.5),1,Fire Season,0.02346483220370933
614,2021.0,CDF,SCU,STUHR,2021-06-05 00:00:00+00:00,2021-06-05 00:00:00+00:00,21.63566,138728.31640625,1600.12990133228,1,11.263708717030491,15.0,POINT (-121.7 37.3),4,Fire Season,0.15294744151226503
615,2021.0,CDF,SCU,PASEO,2021-06-25 00:00:00+00:00,2021-06-25 00:00:00+00:00,37.56758,239502.04296875,3190.0512244466,1,13.18780419929862,18.0,POINT (-121.7 37.3),4,Fire Season,0.1800586772969942
616,2021.0,CDF,SCU,DIABLO,2021-07-11 00:00:00+00:00,2021-07-11 00:00:00+00:00,127.659,828774.70703125,5690.56147149824,1,17.537820764867014,23.0,POINT (-121.7 37.3),4,Fire Season,0.2413520620917973
617,2021.0,LRA,SCU,PIERCY,2021-06-14 00:00:00+00:00,2021-06-14 00:00:00+00:00,39.47499,252569.80078125,2560.51203476803,1,13.36210125311394,18.0,POINT (-121.7 37.3),4,Fire Season,0.1825145889532081
618,2021.0,CDF,SCU,KIRKER,2021-07-04 00:00:00+00:00,2021-07-04 00:00:00+00:00,83.55169,545069.58203125,4400.70592723132,1,16.022035521906545,21.0,POINT (-121.7 37.3),4,Fire Season,0.2199940725847113
624,2021.0,CDF,SHU,HIDING,2021-08-01 00:00:00+00:00,2021-08-02 00:00:00+00:00,41.50576,290559.95703125,3147.13163947765,2,17.813477042107856,23.0,POINT (-122.5 40.7),2,Fire Season,0.2452361636848261
