objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,complex_name,shape__area,shape__length,duration_days,intensity,rescaled_intensity
35,2023.0,CCO,KRN,TOLL,2023-05-22 00:00:00+00:00,2023-05-22 00:00:00+00:00,6.860587,,41750.76171875,1105.91052052054,0 days,7.444785177035092,10.0
36,2023.0,CCO,KRN,POINT,2023-06-04 00:00:00+00:00,2023-06-04 00:00:00+00:00,4.915308,,29805.7109375,907.303007096636,0 days,6.418196069854545,9.0
37,2023.0,CCO,KRN,PENTLAND,2023-06-05 00:00:00+00:00,2023-06-06 00:00:00+00:00,83.47556,,504927.51171875,4146.01597875623,1 days,20.293395180080253,27.0
38,2023.0,CCO,KRN,LITTLE,2023-06-08 00:00:00+00:00,2023-06-08 00:00:00+00:00,59.26785,,363380.9921875,3161.21385528543,0 days,14.799577798433841,20.0
39,2023.0,CCO,KRN,ELK,2023-06-13 00:00:00+00:00,2023-06-13 00:00:00+00:00,5.666053,,34513.80078125,1180.02780027584,0 days,6.8496195729776055,10.0
40,2023.0,CCO,KRN,TANK,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,5.777378,,35535.09375,1446.9448978274,1 days,11.184033699433149,15.0
41,2023.0,CCO,KRN,FAMOSO,2023-06-23 00:00:00+00:00,2023-06-23 00:00:00+00:00,6.419109,,39402.58203125,773.845044652949,0 days,7.236077718421704,10.0
42,2023.0,CCO,KRN,LAST,2023-06-24 00:00:00+00:00,2023-06-24 00:00:00+00:00,3.334712,,20361.14453125,646.584897570341,0 days,5.295667929239591,8.0
43,2023.0,CCO,KRN,POST,2023-06-27 00:00:00+00:00,2023-06-27 00:00:00+00:00,5.966745,,36596.77734375,1362.92193236612,0 days,7.008924804246405,10.0
44,2023.0,CCO,KRN,WATER,2023-06-27 00:00:00+00:00,2023-06-27 00:00:00+00:00,7.961721,,48856.96875,1201.87791796314,0 days,7.918152992682575,11.0
45,2023.0,CCO,KRN,CHAMPAGNE,2023-06-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,107.8487,,651052.49609375,4648.68537232396,0 days,16.9340858820272,22.0
46,2023.0,CCO,KRN,TRUCK,2023-06-30 00:00:00+00:00,2023-07-01 00:00:00+00:00,17.15697,,103697.05078125,2221.2211032266,1 days,14.742260131097588,20.0
47,2023.0,CCO,KRN,ROUND,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,536.0197,,3290774.2578125,11616.3652403161,0 days,22.69705477914555,30.0
48,2023.0,CCO,KRN,CANYON,2023-07-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,9.05986,,54912.9453125,1875.04816244704,1 days,12.610130746190439,17.0
49,2023.0,CCO,KRN,SOUTH 2,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,9.613276,,67641.21484375,1438.10278837926,0 days,8.5288808726603,12.0
50,2023.0,CCO,KRN,TREE,2023-07-04 00:00:00+00:00,2023-07-04 00:00:00+00:00,6.170191,,37428.29296875,1100.11406446195,0 days,7.112856154499718,10.0
51,2023.0,CCO,KRN,BAKER,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,3.72376,,22675.671875,1174.85848737343,0 days,5.606008251034755,8.0
52,2023.0,CCO,KRN,MID,2023-07-13 00:00:00+00:00,2023-07-13 00:00:00+00:00,4.990486,,30309.01171875,777.184071121593,0 days,6.463795655668224,9.0
53,2023.0,CCO,KRN,DISTRICT,2023-07-07 00:00:00+00:00,2023-07-12 00:00:00+00:00,1043.665,,6292144.94140625,12913.9059085782,5 days,36.14939459986544,47.0
54,2023.0,CCO,KRN,BODFISH,2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,52.75753,,321188.984375,2453.60466606071,1 days,18.661431407070122,25.0
55,2023.0,CCO,KRN,SCODIE,2023-07-28 00:00:00+00:00,2023-07-31 00:00:00+00:00,20.61374,,126800.3203125,4049.18938777411,3 days,19.64612794814844,26.0
56,2023.0,CCO,KRN,BEALE,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,60.6251,,368792.39453125,3734.17974082288,1 days,19.154602188777393,25.0
57,2023.0,CCO,KRN,HABERKERN,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,34.74714,,209238.98828125,3222.64980333255,1 days,17.18821264059652,23.0
58,2023.0,CCO,KRN,COMANCHE,2023-08-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,4.387525,,26755.98828125,786.570330819241,0 days,6.080748152378733,9.0
59,2023.0,CCO,KRN,EAST,2023-08-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,1291.166,,7899533.1953125,15390.5216597692,0 days,25.867404817282534,34.0
60,2023.0,CCO,KRN,EDMONSTON,2023-08-03 00:00:00+00:00,2023-08-04 00:00:00+00:00,14.59014,,88044.421875,1789.61277467236,1 days,14.191930563275962,19.0
61,2023.0,CCO,KRN,ALMOND,2023-08-06 00:00:00+00:00,2023-08-07 00:00:00+00:00,5228.871,,32043957.1210938,45656.0660909036,1 days,35.1900319065114,45.0
62,2023.0,CCO,KRN,BOULEVARD,2023-08-04 00:00:00+00:00,2023-08-07 00:00:00+00:00,89.46474,,542043.421875,8956.07928963521,3 days,24.815333490930758,32.0
63,2023.0,CCO,KRN,BRITE,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,3.816716,,23131.67578125,712.314840154778,0 days,5.676371170273938,8.0
64,2023.0,CCO,KRN,GENERAL,2023-08-13 00:00:00+00:00,2023-08-13 00:00:00+00:00,16.05068,,97481.0390625,1702.3947196682,0 days,10.24066267521154,14.0
65,2023.0,CCO,KRN,TROTTER,2023-08-14 00:00:00+00:00,2023-08-17 00:00:00+00:00,52.54716,,318702.40234375,4868.13291235762,3 days,22.921886040291188,30.0
66,2023.0,CCO,KRN,GROVE,2023-08-14 00:00:00+00:00,2023-08-14 00:00:00+00:00,4.713907,,28567.82421875,1609.3463258167,0 days,6.293119094647934,9.0
67,2023.0,CCO,KRN,BLACKWELL,2023-08-19 00:00:00+00:00,2023-08-19 00:00:00+00:00,34.64903,,212358.31640625,2262.75029492936,0 days,12.903677028730117,17.0
68,2023.0,CCO,KRN,SEMI,2023-08-27 00:00:00+00:00,2023-08-27 00:00:00+00:00,4.015996,,24437.2109375,825.463446811665,0 days,5.822748085591621,8.0
69,2023.0,CCO,KRN,DEN,2023-08-28 00:00:00+00:00,2023-08-28 00:00:00+00:00,33.32077,,205300.015625,2251.13933798717,0 days,12.766573901691785,17.0
70,2023.0,CCO,KRN,ROLLING,2023-09-09 00:00:00+00:00,2023-09-09 00:00:00+00:00,7.908133,,48110.3515625,1631.9377204392,0 days,7.8964973753678365,11.0
71,2023.0,CCO,KRN,TULE,2023-09-09 00:00:00+00:00,2023-09-10 00:00:00+00:00,7.309518,,44897.9921875,924.004655341922,1 days,11.91993740946149,16.0
72,2023.0,CCO,KRN,CALIENTE ,2023-09-16 00:00:00+00:00,2023-09-17 00:00:00+00:00,55.02539,,334837.2265625,3260.97691659367,1 days,18.810630428062076,25.0
73,2023.0,CCO,KRN,FLAT,2023-09-21 00:00:00+00:00,2023-09-21 00:00:00+00:00,10.37647,,63111.26171875,1553.04377703671,0 days,8.779614120259039,12.0
74,2023.0,CCO,KRN,TOWER ,2023-09-22 00:00:00+00:00,2023-09-22 00:00:00+00:00,5.175606,,31535.8984375,1666.75188837585,0 days,6.573685735233162,9.0
75,2023.0,CCO,KRN,POSO ,2023-09-22 00:00:00+00:00,2023-09-22 00:00:00+00:00,5.002238,,30675.01171875,1041.26604286787,0 days,6.470872127866636,9.0
76,2023.0,CCO,KRN,BLUE BARN ,2023-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,7.971368,,48879.41015625,1049.61124597768,1 days,12.196649906874313,16.0
77,2023.0,CCO,KRN,CORNER,2023-09-27 00:00:00+00:00,2023-09-27 00:00:00+00:00,6.430629,,39461.25390625,987.043563638193,0 days,7.241679891173847,10.0
78,2023.0,CCO,KRN,ROCK,2023-09-27 00:00:00+00:00,2023-09-27 00:00:00+00:00,13.71712,,82917.8359375,1781.1103614216,0 days,9.709243131004307,13.0
79,2023.0,CCO,KRN,SKY,2023-10-06 00:00:00+00:00,2023-10-06 00:00:00+00:00,4.440306,,27030.42578125,1277.93106273961,0 days,6.115949744564785,9.0
80,2023.0,CCO,KRN,LIERLY,2023-10-07 00:00:00+00:00,2023-10-07 00:00:00+00:00,3.030688,,18364.57421875,881.18766333832,0 days,5.033103919659288,7.0
81,2023.0,CCO,KRN,ANNETTE,2023-10-18 00:00:00+00:00,2023-10-18 00:00:00+00:00,5.226628,,32146.07421875,860.348696807882,0 days,6.603394372368932,9.0
82,2023.0,CCO,KRN,CREEK,2023-10-26 00:00:00+00:00,2023-10-26 00:00:00+00:00,6.315729,,38482.625,850.97167833716,0 days,7.1854112060696,10.0
83,2023.0,CCO,KRN,SHERWOOD,2023-10-28 00:00:00+00:00,2023-10-28 00:00:00+00:00,8.496378,,52123.60546875,1176.99143915499,0 days,8.127387116220799,11.0
84,2023.0,CCO,KRN,CROCKER,2023-10-29 00:00:00+00:00,2023-10-29 00:00:00+00:00,8.202892,,49831.3046875,1154.94838622602,0 days,8.014037220988124,11.0
85,2023.0,CCO,KRN,BRONZE,2023-10-29 00:00:00+00:00,2023-10-29 00:00:00+00:00,5.487661,,33676.4765625,978.395090240878,0 days,6.75167591262114,10.0
86,2023.0,CCO,KRN,KERN,2023-11-02 00:00:00+00:00,2023-11-02 00:00:00+00:00,16.76435,,102302.58984375,1533.5443995333,0 days,10.38871465908529,14.0
87,2023.0,CCO,KRN,LINE,2023-11-08 00:00:00+00:00,2023-11-08 00:00:00+00:00,86.2767,,527799.0625,3885.53783423904,0 days,16.13656896442892,21.0
88,2023.0,CCO,KRN,FIELD,2023-11-10 00:00:00+00:00,2023-11-10 00:00:00+00:00,15.04139,,92238.10546875,1413.35123886369,0 days,10.020344931709884,14.0
89,2023.0,CCO,KRN,FANO,2023-05-11 00:00:00+00:00,2023-05-11 00:00:00+00:00,3.00047,,46223.17578125,1389.53120265833,0 days,5.0059325007439845,7.0
90,2023.0,CCO,KRN,FANO 2,2023-11-21 00:00:00+00:00,2023-11-21 00:00:00+00:00,3.433622,,21001.1953125,568.788494578366,0 days,5.377131653588688,8.0
91,2023.0,CCO,KRN,FRONT,2023-10-07 00:00:00+00:00,2023-10-07 00:00:00+00:00,7.258909,,44394.96875,1535.67978415336,0 days,7.6232669928351235,11.0
92,2023.0,CCO,KRN,HOLLOW,2023-10-18 00:00:00+00:00,2023-10-18 00:00:00+00:00,13.32836,,81629.73046875,1303.98165470329,0 days,9.612582044277175,13.0
93,2023.0,CCO,SBC,PLANT,2023-08-19 00:00:00+00:00,2023-08-31 00:00:00+00:00,5761.521,,34771286.984375,52880.1507570325,12 days,47.083561675746125,60.0
94,2023.0,CCO,SBC,SUN,2023-11-09 00:00:00+00:00,2023-11-13 00:00:00+00:00,211.192,,1263209.25390625,6407.74367740057,4 days,29.26969560341372,38.0
95,2023.0,CCO,SBC,GRADE,2023-10-06 00:00:00+00:00,2023-10-07 00:00:00+00:00,95.66613,,572195.2265625,5628.22411344363,1 days,20.780121983510526,27.0
96,2023.0,CDF,NEU,SCOTT,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00,94.27705,,729429.28515625,4916.56253133477,0 days,16.45324792952369,22.0
97,2023.0,CDF,NEU,PEOIRA,2023-06-23 00:00:00+00:00,2023-06-23 00:00:00+00:00,58.00984,,392011.09375,2779.40065569763,0 days,14.72341135101175,20.0
98,2023.0,CDF,NEU,SICARD,2023-05-30 00:00:00+00:00,2023-05-30 00:00:00+00:00,13.73,,91543.4140625,1820.06844997656,0 days,9.712401739408133,13.0
99,2023.0,CCO,KRN,TULE 2,2023-12-03 00:00:00+00:00,2023-12-03 00:00:00+00:00,3.12156,,18763.0078125,975.070567845394,0 days,5.113603462492,7.0
100,2023.0,CCO,KRN,RANCHO,2023-12-04 00:00:00+00:00,2023-12-04 00:00:00+00:00,2.2649,,13228.0,666.591320641136,0 days,4.272298423908028,6.0
101,2023.0,CCO,KRN,PINE,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,169.973,,1041987.03125,5519.3161410333,1 days,22.839103078774066,30.0
